sku,_attribute_set,_product_websites,_store,_type,_root_category,_category,name,short_description,description,price,size,color,url_key,has_options,required_options,status,tax_class_id,visibility,qty,is_in_stock,manage_stock,_super_products_sku,_super_attribute_code,_super_attribute_option
2011026680518,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,キャミソール/FREE/GRAY,（未使用）,（未使用）,3990,FREE,GRAY,2011026680518,0,0,1,4,1,1,1,1,,,
2011026680716,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,キャミソール/FREE/BLUE,（未使用）,（未使用）,3990,FREE,BLUE,2011026680716,0,0,1,4,1,1,1,1,,,
2011026690111,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,タンクトップ/FREE/BLACK,（未使用）,（未使用）,3990,FREE,BLACK,2011026690111,0,0,1,4,1,1,1,1,,,
2011026690210,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,タンクトップ/FREE/WHITE,（未使用）,（未使用）,3990,FREE,WHITE,2011026690210,0,0,1,4,1,1,1,1,,,
2011026690418,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,タンクトップ/FREE/BEIGE,（未使用）,（未使用）,3990,FREE,BEIGE,2011026690418,0,0,1,4,1,1,1,1,,,
2011026690517,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,タンクトップ/FREE/GRAY,（未使用）,（未使用）,3990,FREE,GRAY,2011026690517,0,0,1,4,1,1,1,1,,,
2011026690715,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,タンクトップ/FREE/BLUE,（未使用）,（未使用）,3990,FREE,BLUE,2011026690715,0,0,1,4,1,1,1,1,,,
2011026700117,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,ショルダータックタンクトップ/FREE/BLACK,（未使用）,（未使用）,3990,FREE,BLACK,2011026700117,0,0,1,4,1,1,1,1,,,
2011026700216,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,ショルダータックタンクトップ/FREE/WHITE,（未使用）,（未使用）,3990,FREE,WHITE,2011026700216,0,0,1,4,1,1,1,1,,,
2011026700414,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,ショルダータックタンクトップ/FREE/BEIGE,（未使用）,（未使用）,3990,FREE,BEIGE,2011026700414,0,0,1,4,1,1,1,1,,,
2011026700513,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,ショルダータックタンクトップ/FREE/GRAY,（未使用）,（未使用）,3990,FREE,GRAY,2011026700513,0,0,1,4,1,1,1,1,,,
2011026700711,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,ショルダータックタンクトップ/FREE/BLUE,（未使用）,（未使用）,3990,FREE,BLUE,2011026700711,0,0,1,4,1,1,1,1,,,
2011027070110,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,ショルダーフリルニットノースリーブ/FREE/BLACK,（未使用）,（未使用）,12600,FREE,BLACK,2011027070110,0,0,1,4,1,1,1,1,,,
2011027070417,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,ショルダーフリルニットノースリーブ/FREE/BEIGE,（未使用）,（未使用）,12600,FREE,BEIGE,2011027070417,0,0,1,4,1,1,1,1,,,
2011027070516,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,ショルダーフリルニットノースリーブ/FREE/GRAY,（未使用）,（未使用）,12600,FREE,GRAY,2011027070516,0,0,1,4,1,1,1,1,,,
2011027150416,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,ハイゲージニットカーディガン/FREE/BEIGE,（未使用）,（未使用）,14700,FREE,BEIGE,2011027150416,0,0,1,4,1,1,1,1,,,
2011027150515,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,ハイゲージニットカーディガン/FREE/GRAY,（未使用）,（未使用）,14700,FREE,GRAY,2011027150515,0,0,1,4,1,1,1,1,,,
2011027150812,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,ハイゲージニットカーディガン/FREE/NAVY,（未使用）,（未使用）,14700,FREE,NAVY,2011027150812,0,0,1,4,1,1,1,1,,,
2011027270213,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,麻ニットプルオーバー/FREE/WHITE,（未使用）,（未使用）,11550,FREE,WHITE,2011027270213,0,0,1,4,1,1,1,1,,,
2011027270619,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,麻ニットプルオーバー/FREE/PINK,（未使用）,（未使用）,11550,FREE,PINK,2011027270619,0,0,1,4,1,1,1,1,,,
2011027270718,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,麻ニットプルオーバー/FREE/BLUE,（未使用）,（未使用）,11550,FREE,BLUE,2011027270718,0,0,1,4,1,1,1,1,,,
2011027270916,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,麻ニットプルオーバー/FREE/YELLOW,（未使用）,（未使用）,11550,FREE,YELLOW,2011027270916,0,0,1,4,1,1,1,1,,,
2011027520110,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,ニットカーディガン/FREE/BLACK,（未使用）,（未使用）,15750,FREE,BLACK,2011027520110,0,0,1,4,1,1,1,1,,,
2011027520417,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,ニットカーディガン/FREE/BEIGE,（未使用）,（未使用）,15750,FREE,BEIGE,2011027520417,0,0,1,4,1,1,1,1,,,
2011027530119,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,フリンジニット/FREE/BLACK,（未使用）,（未使用）,15750,FREE,BLACK,2011027530119,0,0,1,4,1,1,1,1,,,
2011027530416,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,フリンジニット/FREE/BEIGE,（未使用）,（未使用）,15750,FREE,BEIGE,2011027530416,0,0,1,4,1,1,1,1,,,
2011034230637,属性セット（標準）,dannyanne,,simple,Danny&Anne,ワンピース,バックプリーツノースリーブシャツワンピース/S/PINK,（未使用）,（未使用）,12600,S,PINK,2011034230637,0,0,1,4,1,1,1,1,,,
2011034230644,属性セット（標準）,dannyanne,,simple,Danny&Anne,ワンピース,バックプリーツノースリーブシャツワンピース/M/PINK,（未使用）,（未使用）,12600,M,PINK,2011034230644,0,0,1,4,1,1,1,1,,,
2011034230736,属性セット（標準）,dannyanne,,simple,Danny&Anne,ワンピース,バックプリーツノースリーブシャツワンピース/S/BLUE,（未使用）,（未使用）,12600,S,BLUE,2011034230736,0,0,1,4,1,1,1,1,,,
2011034230743,属性セット（標準）,dannyanne,,simple,Danny&Anne,ワンピース,バックプリーツノースリーブシャツワンピース/M/BLUE,（未使用）,（未使用）,12600,M,BLUE,2011034230743,0,0,1,4,1,1,1,1,,,
2011034230934,属性セット（標準）,dannyanne,,simple,Danny&Anne,ワンピース,バックプリーツノースリーブシャツワンピース/S/YELLOW,（未使用）,（未使用）,12600,S,YELLOW,2011034230934,0,0,1,4,1,1,1,1,,,
2011034230941,属性セット（標準）,dannyanne,,simple,Danny&Anne,ワンピース,バックプリーツノースリーブシャツワンピース/M/YELLOW,（未使用）,（未使用）,12600,M,YELLOW,2011034230941,0,0,1,4,1,1,1,1,,,
2011034360532,属性セット（標準）,dannyanne,,simple,Danny&Anne,ワンピース,裏起毛スウェットワンピース/S/GRAY,（未使用）,（未使用）,12600,S,GRAY,2011034360532,0,0,1,4,1,1,1,1,,,
2011034360549,属性セット（標準）,dannyanne,,simple,Danny&Anne,ワンピース,裏起毛スウェットワンピース/M/GRAY,（未使用）,（未使用）,12600,M,GRAY,2011034360549,0,0,1,4,1,1,1,1,,,
2011034362437,属性セット（標準）,dannyanne,,simple,Danny&Anne,ワンピース,裏起毛スウェットワンピース/S/D/GRAY,（未使用）,（未使用）,12600,S,D/GRAY,2011034362437,0,0,1,4,1,1,1,1,,,
2011034362444,属性セット（標準）,dannyanne,,simple,Danny&Anne,ワンピース,裏起毛スウェットワンピース/M/D/GRAY,（未使用）,（未使用）,12600,M,D/GRAY,2011034362444,0,0,1,4,1,1,1,1,,,
2011035100137,属性セット（標準）,dannyanne,,simple,Danny&Anne,ワンピース,2wayチュールスカートドレス/S/BLACK,（未使用）,（未使用）,19950,S,BLACK,2011035100137,0,0,1,4,1,1,1,1,,,
2011035100144,属性セット（標準）,dannyanne,,simple,Danny&Anne,ワンピース,2wayチュールスカートドレス/M/BLACK,（未使用）,（未使用）,19950,M,BLACK,2011035100144,0,0,1,4,1,1,1,1,,,
2011035100434,属性セット（標準）,dannyanne,,simple,Danny&Anne,ワンピース,2wayチュールスカートドレス/S/BEIGE,（未使用）,（未使用）,19950,S,BEIGE,2011035100434,0,0,1,4,1,1,1,1,,,
2011035100441,属性セット（標準）,dannyanne,,simple,Danny&Anne,ワンピース,2wayチュールスカートドレス/M/BEIGE,（未使用）,（未使用）,19950,M,BEIGE,2011035100441,0,0,1,4,1,1,1,1,,,
2011035130134,属性セット（標準）,dannyanne,,simple,Danny&Anne,ワンピース,ティアードショルダードレス/S/BLACK,（未使用）,（未使用）,19950,S,BLACK,2011035130134,0,0,1,4,1,1,1,1,,,
2011035130141,属性セット（標準）,dannyanne,,simple,Danny&Anne,ワンピース,ティアードショルダードレス/M/BLACK,（未使用）,（未使用）,19950,M,BLACK,2011035130141,0,0,1,4,1,1,1,1,,,
2011035130431,属性セット（標準）,dannyanne,,simple,Danny&Anne,ワンピース,ティアードショルダードレス/S/BEIGE,（未使用）,（未使用）,19950,S,BEIGE,2011035130431,0,0,1,4,1,1,1,1,,,
2011035130448,属性セット（標準）,dannyanne,,simple,Danny&Anne,ワンピース,ティアードショルダードレス/M/BEIGE,（未使用）,（未使用）,19950,M,BEIGE,2011035130448,0,0,1,4,1,1,1,1,,,
2011035240130,属性セット（標準）,dannyanne,,simple,Danny&Anne,ワンピース,タフタフレアースカートドレス/S/BLACK,（未使用）,（未使用）,24150,S,BLACK,2011035240130,0,0,1,4,1,1,1,1,,,
2011035240147,属性セット（標準）,dannyanne,,simple,Danny&Anne,ワンピース,タフタフレアースカートドレス/M/BLACK,（未使用）,（未使用）,24150,M,BLACK,2011035240147,0,0,1,4,1,1,1,1,,,
2011035260138,属性セット（標準）,dannyanne,,simple,Danny&Anne,ワンピース,プリントシフォンマキシドレス/S/BLACK,（未使用）,（未使用）,26250,S,BLACK,2011035260138,0,0,1,4,1,1,1,1,,,
